time,x-acceleration,y-acceleration,z-acceleration
10.520,0.306,0.202,0.869
10.540,0.325,0.138,0.809
10.560,0.333,0.031,0.788
10.580,0.318,-0.145,0.748
10.600,0.380,-0.271,0.723
10.620,0.469,-0.300,0.765
10.640,0.473,-0.304,0.829
10.660,0.403,-0.323,0.825
10.680,0.401,-0.392,0.785
10.700,0.403,-0.454,0.699
10.720,0.443,-0.482,0.664
10.740,0.441,-0.553,0.745
10.760,0.344,-0.631,0.829
10.780,0.321,-0.661,0.838
10.800,0.440,-0.695,0.819
10.820,0.536,-0.707,0.859
10.840,0.483,-0.703,0.841
10.860,0.506,-0.692,0.837
10.880,0.426,-0.721,0.897
10.900,0.288,-0.698,0.927
10.920,0.279,-0.651,0.975
10.940,0.383,-0.618,1.064
10.960,0.289,-0.565,1.116
10.980,0.228,-0.496,1.095
11.000,0.092,-0.469,1.097
11.020,0.043,-0.441,1.086
11.040,0.024,-0.392,1.074
11.060,0.189,-0.351,1.053
11.080,0.389,-0.350,0.978
11.100,0.259,-0.312,0.926
11.120,0.293,-0.300,0.864
11.140,0.360,-0.319,0.815
11.160,0.353,-0.360,0.840
11.180,0.304,-0.389,0.904
11.200,0.368,-0.445,1.016
11.220,0.399,-0.493,1.080
11.240,0.283,-0.609,1.058
11.260,0.261,-0.670,0.987
11.280,0.281,-0.693,1.027
11.300,0.399,-0.795,1.050
11.320,0.413,-0.842,1.000
11.340,0.277,-0.809,0.888
11.360,0.244,-0.807,0.865
11.380,0.367,-0.773,0.818
11.400,0.294,-0.694,0.715
11.420,0.064,-0.639,0.667
11.440,-0.071,-0.580,0.611
11.460,-0.196,-0.426,0.594
11.480,-0.348,-0.370,0.563
11.500,-0.315,-0.285,0.495
11.520,-0.038,-0.168,0.520
11.540,0.362,-0.050,0.627
11.560,0.646,0.079,0.778
11.580,0.632,0.175,0.868
11.600,0.403,0.327,1.046
11.620,0.090,0.417,1.165
11.640,-0.089,0.458,1.152
11.660,-0.011,0.419,1.142
11.680,0.023,0.375,1.115
11.700,0.008,0.345,1.113
11.720,-0.046,0.316,1.118
11.740,-0.113,0.269,1.070
11.760,-0.131,0.195,1.038
11.780,-0.154,0.135,1.008
11.800,-0.189,0.095,0.978
11.820,-0.160,0.065,0.979
11.840,-0.071,0.063,1.021
11.860,-0.044,0.079,1.055
11.880,-0.066,0.086,1.040
11.900,-0.094,0.086,0.975
11.920,-0.102,0.089,0.948
11.940,-0.105,0.096,0.989
11.960,-0.071,0.102,1.044
11.980,-0.097,0.098,1.056
12.000,-0.017,0.084,1.065
12.020,0.045,0.073,1.088
12.040,-0.163,0.069,1.042
12.060,-0.208,0.065,0.940
12.080,-0.042,0.043,0.933
12.100,0.031,0.046,0.965
12.120,0.059,0.045,0.971
12.140,0.002,0.029,0.973
12.160,-0.055,0.021,0.990
12.180,-0.036,0.005,0.999
12.200,-0.040,-0.018,1.028
12.220,-0.050,-0.010,1.069
12.240,-0.058,-0.010,1.079
12.260,-0.056,-0.014,1.076
12.280,-0.019,-0.020,1.083
12.300,-0.014,-0.018,1.078
12.320,0.000,-0.014,1.056
12.340,0.020,-0.015,1.039
12.360,0.025,-0.015,1.034
12.380,0.014,-0.005,1.037
12.400,-0.014,0.014,1.036
12.420,-0.024,0.018,1.025
12.440,-0.064,0.001,0.947
12.460,-0.066,0.025,0.860
12.480,-0.025,0.043,0.957
12.500,-0.021,0.022,1.102
12.520,-0.044,-0.031,1.061
12.540,-0.083,-0.011,0.981
12.560,-0.108,0.054,0.929
12.580,-0.114,0.073,1.159
12.600,-0.055,0.058,1.192
12.620,-0.054,0.031,1.079
12.640,-0.051,0.010,0.943
12.660,-0.039,-0.003,0.846
12.680,-0.053,0.026,0.830
12.700,-0.080,0.063,0.905
12.720,0.001,0.042,1.037
12.740,-0.015,0.024,1.175
12.760,-0.050,-0.004,1.189
12.780,-0.074,-0.009,1.141
12.800,-0.057,-0.013,1.108
12.820,-0.028,0.013,1.051
12.840,-0.038,0.025,0.994
12.860,-0.027,0.033,0.966
12.880,-0.024,0.039,0.967
12.900,-0.063,0.038,0.993
12.920,-0.058,0.026,0.997
12.940,-0.062,0.007,0.970
12.960,-0.078,0.004,0.969
12.980,-0.051,-0.007,1.000
13.000,-0.002,-0.021,1.016
13.020,-0.013,-0.028,1.016
13.040,0.002,-0.041,1.031
13.060,0.005,-0.036,1.049
13.080,-0.005,-0.030,1.038
13.100,-0.001,-0.035,1.028
13.120,-0.010,-0.031,1.026
13.140,0.006,-0.020,1.015
13.160,0.021,-0.001,1.012
13.180,-0.049,-0.000,1.013
13.200,-0.038,-0.010,1.013
13.220,-0.032,-0.009,0.991
13.240,-0.042,0.000,0.935
13.260,-0.054,0.013,0.950
13.280,-0.029,-0.004,1.052
13.300,-0.054,-0.021,1.058
13.320,-0.054,-0.005,1.010
13.340,-0.001,0.022,1.134
13.360,-0.018,0.030,1.183
13.380,-0.026,0.000,1.110
13.400,-0.039,0.022,1.048
13.420,-0.086,0.055,0.989
13.440,-0.212,0.115,0.981
13.460,-0.260,0.209,1.060
13.480,-0.159,0.283,1.137
13.500,-0.196,0.336,1.234
13.520,-0.174,0.342,1.305
13.540,-0.100,0.333,1.309
13.560,-0.015,0.279,1.300
13.580,0.086,0.242,1.229
13.600,0.140,0.208,1.123
13.620,0.148,0.143,1.001
13.640,0.152,0.068,0.865
13.660,0.157,-0.029,0.768
13.680,0.247,-0.118,0.719
13.700,0.349,-0.235,0.685
13.720,0.402,-0.359,0.668
13.740,0.279,-0.451,0.624
13.760,0.269,-0.516,0.601
13.780,0.279,-0.573,0.535
13.800,0.323,-0.628,0.498
13.820,0.380,-0.659,0.513
13.840,0.445,-0.685,0.559
13.860,0.437,-0.713,0.532
13.880,0.434,-0.750,0.489
13.900,0.436,-0.768,0.480
13.920,0.407,-0.757,0.512
13.940,0.408,-0.727,0.552
13.960,0.439,-0.717,0.594
13.980,0.447,-0.697,0.607
14.000,0.443,-0.673,0.628
14.020,0.463,-0.671,0.660
14.040,0.439,-0.670,0.700
14.060,0.439,-0.664,0.757
14.080,0.464,-0.655,0.817
14.100,0.507,-0.658,0.825
14.120,0.485,-0.649,0.784
14.140,0.496,-0.637,0.803
14.160,0.438,-0.637,0.824
14.180,0.439,-0.632,0.847
14.200,0.434,-0.645,0.854
14.220,0.398,-0.666,0.828
14.240,0.362,-0.677,0.806
14.260,0.321,-0.681,0.798
14.280,0.309,-0.694,0.837
14.300,0.279,-0.699,0.864
14.320,0.242,-0.693,0.852
14.340,0.237,-0.676,0.849
14.360,0.236,-0.667,0.832
14.380,0.224,-0.672,0.798
14.400,0.248,-0.672,0.803
14.420,0.296,-0.671,0.812
14.440,0.302,-0.675,0.799
14.460,0.277,-0.679,0.785
14.480,0.255,-0.689,0.806
14.500,0.232,-0.704,0.802
14.520,0.245,-0.731,0.748
14.540,0.266,-0.744,0.687
14.560,0.253,-0.746,0.634
14.580,0.167,-0.747,0.582
14.600,0.087,-0.746,0.517
14.620,0.075,-0.728,0.514
14.640,0.013,-0.733,0.625
14.660,-0.060,-0.709,0.718
14.680,-0.265,-0.636,0.784
14.700,-0.255,-0.650,0.721
14.720,0.175,-0.728,0.600
14.740,0.362,-0.773,0.562
14.760,0.270,-0.744,0.587
14.780,0.262,-0.692,0.640
14.800,0.356,-0.676,0.806
14.820,0.272,-0.627,0.814
14.840,0.298,-0.627,0.594
14.860,0.112,-0.693,0.378
14.880,0.266,-0.665,0.486
14.900,0.411,-0.650,0.684
14.920,0.306,-0.676,0.647
14.940,0.169,-0.660,0.572
14.960,0.202,-0.697,0.595
14.980,0.260,-0.703,0.674
15.000,0.323,-0.715,0.750
15.020,0.294,-0.692,0.735
15.040,0.283,-0.657,0.712
15.060,0.314,-0.636,0.714
15.080,0.336,-0.628,0.741
15.100,0.333,-0.627,0.737
15.120,0.317,-0.624,0.725
15.140,0.347,-0.625,0.728
15.160,0.403,-0.615,0.734
15.180,0.403,-0.606,0.751
15.200,0.393,-0.601,0.761
15.220,0.374,-0.597,0.754
15.240,0.369,-0.596,0.753
15.260,0.408,-0.603,0.762
15.280,0.415,-0.594,0.769
15.300,0.398,-0.602,0.781
15.320,0.391,-0.615,0.752
15.340,0.379,-0.609,0.735
15.360,0.380,-0.609,0.748
15.380,0.387,-0.614,0.743
15.400,0.376,-0.615,0.726
15.420,0.363,-0.615,0.720
15.440,0.359,-0.620,0.714
15.460,0.358,-0.626,0.715
15.480,0.355,-0.636,0.707
15.500,0.342,-0.638,0.706
15.520,0.347,-0.640,0.714
15.540,0.347,-0.642,0.708
15.560,0.345,-0.650,0.709
15.580,0.331,-0.654,0.709
15.600,0.333,-0.653,0.715
15.620,0.340,-0.656,0.710
15.640,0.328,-0.650,0.699
15.660,0.324,-0.646,0.697
15.680,0.338,-0.651,0.701
15.700,0.341,-0.654,0.697
15.720,0.326,-0.652,0.698
15.740,0.326,-0.652,0.698
15.760,0.329,-0.656,0.703
15.780,0.321,-0.655,0.700
15.800,0.327,-0.661,0.701
15.820,0.334,-0.668,0.708
15.840,0.328,-0.671,0.706
15.860,0.325,-0.664,0.699
15.880,0.334,-0.664,0.699
15.900,0.321,-0.664,0.707
15.920,0.333,-0.665,0.709
15.940,0.342,-0.663,0.704
15.960,0.331,-0.658,0.706
15.980,0.331,-0.658,0.704
16.000,0.339,-0.660,0.704
16.020,0.351,-0.660,0.708
16.040,0.342,-0.657,0.706
16.060,0.339,-0.655,0.705
16.080,0.334,-0.653,0.704
